F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F20,Label
28.0,,256.0,2048.0,28.0,240.0,0.0,240.0,240.0,8.0,4982510.0,688.0,698.0,10.0,29.0,384.0,1.0,128.0,778.0,3.0
17.0,257.0,256.0,2048.0,17.0,240.0,0.0,240.0,240.0,8.0,4982535.0,770.0,0.0,10.0,3397.0,373.0,1.0,128.0,778.0,1.0
15.0,768.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4982492.0,277.0,289.0,12.0,3400.0,373.0,2.0,128.0,780.0,3.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,7.0,4983025.0,2095.0,2110.0,15.0,29.0,383.0,2.0,128.0,783.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,7.0,4982535.0,131.0,0.0,21.0,1105.0,374.0,2.0,-12.0,789.0,1.0
5.0,65535.0,256.0,2048.0,5.0,240.0,0.0,240.0,240.0,8.0,4982919.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
9.0,65535.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,7.0,4983016.0,0.0,0.0,0.0,3397.0,256.0,1.0,256.0,768.0,3.0
12.0,65535.0,256.0,2048.0,12.0,240.0,0.0,240.0,240.0,7.0,4982934.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4982457.0,266.0,288.0,22.0,3401.0,383.0,2.0,-12.0,790.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,7.0,4982444.0,117.0,131.0,14.0,3397.0,390.0,2.0,128.0,782.0,3.0
21.0,768.0,256.0,2048.0,21.0,240.0,0.0,240.0,240.0,8.0,4982970.0,559.0,572.0,13.0,29.0,380.0,2.0,128.0,781.0,3.0
5.0,512.0,256.0,2048.0,5.0,240.0,0.0,240.0,240.0,7.0,4982918.0,2.0,4.0,2.0,3397.0,353.0,1.0,128.0,770.0,3.0
14.0,512.0,256.0,2048.0,14.0,240.0,0.0,240.0,240.0,7.0,4982931.0,164.0,165.0,1.0,2850.0,361.0,1.0,128.0,769.0,3.0
5.0,65535.0,256.0,2048.0,5.0,240.0,0.0,240.0,240.0,7.0,4982916.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
4.0,768.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,8.0,4982986.0,618.0,635.0,17.0,29.0,367.0,2.0,128.0,785.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,7.0,4982949.0,135.0,0.0,21.0,3400.0,374.0,2.0,-12.0,789.0,1.0
12.0,768.0,256.0,2048.0,12.0,240.0,0.0,240.0,240.0,7.0,4982494.0,105.0,120.0,15.0,30.0,373.0,2.0,128.0,783.0,3.0
10.0,768.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,8.0,4982549.0,36.0,48.0,12.0,29.0,368.0,2.0,128.0,780.0,3.0
