Dataset,Phase,Fold,SVM_Accuracy,SVM_Accuracy_Std,SVM_F1,SVM_F1_Std,SVM_Params,kNN_Accuracy,kNN_Accuracy_Std,kNN_F1,kNN_F1_Std,kNN_Params,Decision Tree_Accuracy,Decision Tree_Accuracy_Std,Decision Tree_F1,Decision Tree_F1_Std,Decision Tree_Params,Random Forest_Accuracy,Random Forest_Accuracy_Std,Random Forest_F1,Random Forest_F1_Std,Random Forest_Params,MLP_Accuracy,MLP_Accuracy_Std,MLP_F1,MLP_F1_Std,MLP_Params
Dataset1,Phase1_Baseline,Fold 1,0.986444,0.0,0.737238,0.0,{'classifier__estimator__C': 10},0.990615,0.0,0.736839,0.0,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.982273,0.0,0.732937,0.0,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset1,Phase1_Baseline,Fold 2,0.987487,0.000521,0.734141,0.001548,{'classifier__estimator__C': 10},0.991658,0.000521,0.734435,0.001202,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.985401,0.001564,0.732177,0.00038,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset1,Phase1_Baseline,Fold 3,0.980188,0.003223,0.726462,0.00453,{'classifier__estimator__C': 10},0.983316,0.003711,0.726014,0.004641,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.974974,0.004369,0.71043,0.010435,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset1,Phase1_Baseline,Fold 4,0.983299,0.002857,0.977322,0.106034,{'classifier__estimator__C': 10},0.982255,0.004209,0.965887,0.10117,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.974948,0.004574,0.95969,0.101947,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset1,Phase1_Baseline,Fold 5,0.985386,0.002589,0.980278,0.120661,{'classifier__estimator__C': 10},0.984342,0.003907,0.967285,0.11477,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.984342,0.004544,0.978932,0.120026,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset1,Phase1_Baseline,Fold 6,0.982255,0.002515,0.975837,0.122648,{'classifier__estimator__C': 10},0.985386,0.003588,0.980951,0.119614,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.975992,0.00446,0.961236,0.121102,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset1,Phase1_Baseline,Fold 7,0.975992,0.003691,0.954882,0.118786,{'classifier__estimator__C': 10},0.984342,0.003389,0.973209,0.118598,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.974948,0.004445,0.959407,0.118946,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset1,Phase1_Baseline,Fold 8,0.973904,0.004581,0.719241,0.121713,{'classifier__estimator__C': 10},0.983299,0.003293,0.730291,0.120078,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.998956,0.000345,0.998976,0.000339,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.97286,0.004625,0.963128,0.116171,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset1,Phase1_Baseline,Fold 9,0.971816,0.005351,0.707587,0.123249,{'classifier__estimator__C': 10},0.983299,0.003191,0.716151,0.120978,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",1.0,0.000328,1.0,0.000322,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.966597,0.005688,0.693796,0.123409,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset1,Phase1_Baseline,Fold 10,0.978079,0.005139,0.723866,0.121566,{'classifier__estimator__C': 10},0.987474,0.003091,0.729739,0.119178,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",1.0,0.0,1.0,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.996868,0.000957,0.996929,0.000938,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.973904,0.005472,0.710617,0.124794,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
