Dataset,Feature,ReliefF_Score
Dataset1,F1,0.509255
Dataset1,F2,1.07401
Dataset1,F3,0.0
Dataset1,F4,0.0
Dataset1,F5,0.509255
Dataset1,F6,0.0
Dataset1,F7,0.0
Dataset1,F8,0.0
Dataset1,F9,0.0
Dataset1,F10,0.4481
Dataset1,F11,0.315317
Dataset1,F12,0.132184
Dataset1,F13,0.148482
Dataset1,F14,0.479495
Dataset1,F15,0.332138
Dataset1,F16,0.206805
Dataset1,F17,0.459947
Dataset1,F18,0.197383
Dataset1,F19,0.479495
Dataset2,F1,0.411228
Dataset2,F2,0.936911
Dataset2,F3,0.0
Dataset2,F4,0.0
Dataset2,F5,0.411228
Dataset2,F6,0.0
Dataset2,F7,0.0
Dataset2,F8,0.0
Dataset2,F9,0.0
Dataset2,F10,0.319857
Dataset2,F11,0.264562
Dataset2,F12,0.131465
Dataset2,F13,0.111487
Dataset2,F14,0.375445
Dataset2,F15,0.279775
Dataset2,F16,0.188815
Dataset2,F17,0.280252
Dataset2,F18,0.273571
Dataset2,F19,0.375445
Dataset3,F1,0.318082
Dataset3,F2,0.6091
Dataset3,F3,0.0
Dataset3,F4,0.0
Dataset3,F5,0.318082
Dataset3,F6,0.0
Dataset3,F7,0.0
Dataset3,F8,0.0
Dataset3,F9,0.0
Dataset3,F10,0.28818
Dataset3,F11,0.205982
Dataset3,F12,0.062396
Dataset3,F13,0.041385
Dataset3,F14,0.224932
Dataset3,F15,0.236943
Dataset3,F16,0.109491
Dataset3,F17,0.12516
Dataset3,F18,0.191467
Dataset3,F19,0.224932
Dataset4,F1,0.352101
Dataset4,F2,0.592432
Dataset4,F3,0.0
Dataset4,F4,0.0
Dataset4,F5,0.352101
Dataset4,F6,0.0
Dataset4,F7,0.0
Dataset4,F8,0.0
Dataset4,F9,0.0
Dataset4,F10,0.326308
Dataset4,F11,0.240895
Dataset4,F12,0.083235
Dataset4,F13,0.073462
Dataset4,F14,0.280922
Dataset4,F15,0.27203
Dataset4,F16,0.143323
Dataset4,F17,0.187445
Dataset4,F18,0.165966
Dataset4,F19,0.280922
Dataset5,F1,0.513182
Dataset5,F2,1.051193
Dataset5,F3,0.0
Dataset5,F4,0.099062
Dataset5,F5,0.513182
Dataset5,F6,0.099062
Dataset5,F7,0.0
Dataset5,F8,0.099062
Dataset5,F9,0.0
Dataset5,F10,0.461587
Dataset5,F11,0.309482
Dataset5,F12,0.154485
Dataset5,F13,0.160189
Dataset5,F14,0.483632
Dataset5,F15,0.330197
Dataset5,F16,0.226409
Dataset5,F17,0.44667
Dataset5,F18,0.280117
Dataset5,F19,0.483618
Dataset6,F1,0.513182
Dataset6,F2,1.051193
Dataset6,F3,0.0
Dataset6,F4,0.099062
Dataset6,F5,0.513182
Dataset6,F6,0.099062
Dataset6,F7,0.0
Dataset6,F8,0.099062
Dataset6,F9,0.0
Dataset6,F10,0.461587
Dataset6,F11,0.309482
Dataset6,F12,0.154485
Dataset6,F13,0.160189
Dataset6,F14,0.483632
Dataset6,F15,0.330197
Dataset6,F16,0.226409
Dataset6,F17,0.44667
Dataset6,F18,0.280117
Dataset6,F19,0.483618
Dataset7,F1,0.519108
Dataset7,F2,1.046085
Dataset7,F3,0.0
Dataset7,F4,0.0
Dataset7,F5,0.519108
Dataset7,F6,0.0
Dataset7,F7,0.0
Dataset7,F8,0.0
Dataset7,F9,0.0
Dataset7,F10,0.441142
Dataset7,F11,0.303474
Dataset7,F12,0.141646
Dataset7,F13,0.154927
Dataset7,F14,0.499553
Dataset7,F15,0.329872
Dataset7,F16,0.209225
Dataset7,F17,0.471984
Dataset7,F18,0.1985
Dataset7,F19,0.499553
Dataset8,F1,0.519108
Dataset8,F2,1.046085
Dataset8,F3,0.0
Dataset8,F4,0.0
Dataset8,F5,0.519108
Dataset8,F6,0.0
Dataset8,F7,0.0
Dataset8,F8,0.0
Dataset8,F9,0.0
Dataset8,F10,0.441142
Dataset8,F11,0.303474
Dataset8,F12,0.141646
Dataset8,F13,0.154927
Dataset8,F14,0.499553
Dataset8,F15,0.329872
Dataset8,F16,0.209225
Dataset8,F17,0.471984
Dataset8,F18,0.1985
Dataset8,F19,0.499553
