Dataset,Phase,SVM_Acc_Mean,SVM_Acc_Std,SVM_F1_Mean,SVM_F1_Std,kNN_Acc_Mean,kNN_Acc_Std,kNN_F1_Mean,kNN_F1_Std,Decision Tree_Acc_Mean,Decision Tree_Acc_Std,Decision Tree_F1_Mean,Decision Tree_F1_Std,Random Forest_Acc_Mean,Random Forest_Acc_Std,Random Forest_F1_Mean,Random Forest_F1_Std,MLP_Acc_Mean,MLP_Acc_Std,MLP_F1_Mean,MLP_F1_Std
Dataset1,Phase1_Baseline,0.9805,0.0051,0.8237,0.1216,0.9856,0.0031,0.8261,0.1192,1.0,0.0,1.0,0.0,0.9996,0.001,0.9996,0.0009,0.9766,0.0055,0.8402,0.1248
Dataset1,Phase2_ReliefF,0.8289,0.0104,0.3365,0.1315,0.9985,0.0012,0.9722,0.0762,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8905,0.035,0.6461,0.1486
Dataset2,Phase1_Baseline,0.9247,0.0059,0.4286,0.0084,0.9552,0.0064,0.5967,0.0365,0.9595,0.0068,0.5878,0.0647,0.9625,0.0066,0.6011,0.0443,0.9449,0.0055,0.4864,0.0269
Dataset2,Phase2_ReliefF,0.8617,0.0077,0.3151,0.0138,0.9492,0.0074,0.576,0.0455,0.9569,0.0069,0.5947,0.0243,0.9579,0.0072,0.5991,0.0294,0.9201,0.0164,0.4222,0.0259
Dataset3,Phase1_Baseline,0.851,0.0029,0.3069,0.0123,0.8911,0.0052,0.5961,0.0138,0.8901,0.0085,0.5758,0.0279,0.8949,0.0073,0.5892,0.0259,0.8673,0.0135,0.4144,0.0962
Dataset3,Phase2_ReliefF,0.8447,0.0011,0.2372,0.0095,0.8833,0.007,0.5549,0.0204,0.8832,0.009,0.5605,0.0325,0.8852,0.0058,0.5555,0.0222,0.8598,0.0141,0.3567,0.0838
Dataset4,Phase1_Baseline,0.8528,0.0037,0.2771,0.0111,0.8625,0.005,0.488,0.023,0.8636,0.0077,0.4948,0.0275,0.8681,0.0027,0.5052,0.0146,0.8583,0.0088,0.3697,0.0519
Dataset4,Phase2_ReliefF,0.8533,0.0023,0.2387,0.0162,0.8666,0.0054,0.5223,0.0211,0.8641,0.0057,0.5121,0.0262,0.8643,0.0077,0.5009,0.0314,0.8542,0.0026,0.2798,0.0408
Dataset5,Phase1_Baseline,0.98,0.0057,0.9618,0.024,0.9833,0.003,0.9669,0.0134,0.9999,0.0003,0.9982,0.0053,0.9997,0.0007,0.9997,0.0007,0.9739,0.0057,0.9494,0.0209
Dataset5,Phase2_ReliefF,0.8421,0.0204,0.4581,0.164,0.9863,0.0103,0.8725,0.1161,0.9999,0.0003,0.9982,0.0053,0.9998,0.0004,0.9965,0.007,0.9261,0.0241,0.6691,0.0541
Dataset6,Phase1_Baseline,0.98,0.0057,0.9618,0.024,0.9833,0.003,0.9669,0.0134,0.9999,0.0003,0.9982,0.0053,0.9997,0.0007,0.9997,0.0007,0.9739,0.0057,0.9494,0.0209
Dataset6,Phase2_ReliefF,0.8421,0.0204,0.4581,0.164,0.9863,0.0103,0.8725,0.1161,0.9999,0.0003,0.9982,0.0053,0.9998,0.0004,0.9965,0.007,0.9261,0.0241,0.6691,0.0541
Dataset7,Phase1_Baseline,0.9792,0.004,0.7744,0.096,0.9848,0.0044,0.8257,0.1232,1.0,0.0,1.0,0.0,0.9997,0.0005,0.9997,0.0005,0.9758,0.0058,0.8156,0.1251
Dataset7,Phase2_ReliefF,0.8229,0.0107,0.2662,0.0784,0.998,0.0016,0.9975,0.0028,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9198,0.0193,0.6876,0.0893
Dataset8,Phase1_Baseline,0.9792,0.004,0.7744,0.096,0.9848,0.0044,0.8257,0.1232,1.0,0.0,1.0,0.0,0.9997,0.0005,0.9997,0.0005,0.9758,0.0058,0.8156,0.1251
Dataset8,Phase2_ReliefF,0.8229,0.0107,0.2662,0.0784,0.998,0.0016,0.9975,0.0028,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9198,0.0193,0.6876,0.0893
